Month,Year,Value
Mar,2000,17554
Jun,2000,18036
Sep,2000,18120
Dec,2000,18753
Mar,2001,17657
Jun,2001,18070
Sep,2001,18344
Dec,2001,19417
Mar,2002,18046
Jun,2002,18769
Sep,2002,18904
Dec,2002,19850
Mar,2003,18300
Jun,2003,18959
Sep,2003,19234
Dec,2003,20543
Mar,2004,18935
Jun,2004,19637
Sep,2004,19798
Dec,2004,20858
Mar,2005,19260
Jun,2005,19988
Sep,2005,20148
Dec,2005,21225
Mar,2006,19466
Jun,2006,20192
Sep,2006,20481
Dec,2006,21479
Mar,2007,19957
Jun,2007,20814
Sep,2007,20956
Dec,2007,21925
Mar,2008,20157
Jun,2008,21039
Sep,2008,20978
Dec,2008,21805
Mar,2009,20111
Jun,2009,20989
Sep,2009,20933
Dec,2009,21927
Mar,2010,20150
Jun,2010,21251
Sep,2010,21183
Dec,2010,22188
Mar,2011,20275
Jun,2011,21445
Sep,2011,21496
Dec,2011,22565
Mar,2012,20898
Jun,2012,22048
Sep,2012,21892
Dec,2012,22770
Mar,2013,20987
Jun,2013,22066
Sep,2013,21983
Dec,2013,22987
Mar,2014,21272
Jun,2014,22336
Sep,2014,22220
Dec,2014,23095
Mar,2015,21458
Jun,2015,22441
Sep,2015,22465
Dec,2015,23323
Mar,2016,21700
Jun,2016,22836
Sep,2016,22536
Dec,2016,23575
Mar,2017,21799
Jun,2017,22964
Sep,2017,22911
Dec,2017,23695
Mar,2018,22106
Jun,2018,23357
Sep,2018,23167
Dec,2018,23915
Mar,2019,22239
Jun,2019,23331
Sep,2019,23239
Dec,2019,24116
Mar,2020,22260
Jun,2020,21645
Sep,2020,22301
Dec,2020,23985
Mar,2021,22688
Jun,2021,23870
Sep,2021,23258
Dec,2021,25026
Mar,2022,23255
Jun,2022,24496
Sep,2022,24271
Dec,2022,25219
Mar,2023,23379
Jun,2023,24378
Sep,2023,24185
Dec,2023,24913
Mar,2024,23129
Jun,2024,24146
Sep,2024,23905
Dec,2024,24737
